薬価基準収載医薬品コード,成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,収載年月日,経過措置による使用期限,備考,診療報酬における加算等の算定対象から除外する品目
2611700Q3030,次亜塩素酸ナトリウム,ヤクラックスＤ液１％,3,,,,
2612700X1013,希ヨードチンキ,希ヨードチンキ,,,,,
2612700X1072,希ヨードチンキ,希ヨードチンキ「ケンエー」,,,,,
2612700X1188,希ヨードチンキ,希ヨードチンキ「東海」,,,,,
2612700X1226,希ヨードチンキ,希ヨードチンキ「マルイシ」,,,R5.3.31まで,,
2612700X1250,希ヨードチンキ,希ヨードチンキ（山善）,,,,,
2612700X1390,希ヨードチンキ,希ヨードチンキ「日医工」,,,,,
2612701N1033,ポビドンヨード,産婦人科用イソジンクリーム５％,,,,,
2612701Q1099,ポビドンヨード,ポピヨドンスクラブ７．５％,3,,,,
2612701Q1102,ポビドンヨード,イソジンスクラブ液７．５％,,,,,
2612701Q1137,ポビドンヨード,ポビドンヨードスクラブ液７．５％「明治」,3,,,,
2612701Q1145,ポビドンヨード,ポビドンヨードスクラブ液７．５％「ケンエー」,3,,,,
2612701Q1153,ポビドンヨード,ポビドンヨードスクラブ液７．５％「イワキ」,3,,,,
2612701Q2109,ポビドンヨード,イソジンゲル１０％,,,,,
2612701Q2117,ポビドンヨード,ポピヨドンゲル１０％,3,,,,
2612701Q2125,ポビドンヨード,ポビドンヨードゲル１０％「マイラン」,3,,R5.3.31まで,,
2612701Q2133,ポビドンヨード,ポビドンヨードゲル１０％「明治」,3,,,,
2612701Q2141,ポビドンヨード,ポビドンヨードゲル１０％「イワキ」,3,,,,
2612701Q2150,ポビドンヨード,ポビドンヨードゲル１０％「ＶＴＲＳ」,3,20220420,,,
2612701Q3113,ポビドンヨード,ポビドンヨード液１０％「メタル」,3,,,,
2612701Q3318,ポビドンヨード,イソジン液１０％,,,,,
2612701Q3334,ポビドンヨード,ポピヨドン液１０％,3,,,,
2612701Q3350,ポビドンヨード,ハイポピロン外用液１０％,3,,,,
2612701Q3393,ポビドンヨード,ポビドンヨード外用液１０％「東海」,3,,,,
2612701Q3407,ポビドンヨード,ポピラール消毒液１０％,3,,,,
2612701Q3415,ポビドンヨード,ポビドンヨード外用液１０％「オオサキ」,3,,,,
2612701Q3431,ポビドンヨード,ポビドンヨード消毒用液１０％「ＮＰ」,3,,,,
2612701Q3440,ポビドンヨード,ポビドンヨード外用液１０％「日新」,3,,,,
2612701Q3458,ポビドンヨード,ポビドンヨード外用液１０％「マイラン」,3,,R5.3.31まで,,
2612701Q3466,ポビドンヨード,ポビドンヨード外用液１０％「明治」,3,,,,
2612701Q3474,ポビドンヨード,ポビドンヨード消毒液１０％「ケンエー」,3,,,,
2612701Q3482,ポビドンヨード,ポビドンヨード外用液１０％「イワキ」,3,,,,
2612701Q3490,ポビドンヨード,ポビドンヨード消毒液１０％「カネイチ」,3,,,,
2612701Q3504,ポビドンヨード,ポビドンヨード消毒液１０％「シオエ」,3,,,,
2612701Q3512,ポビドンヨード,ポビドンヨード外用液１０％「ＶＴＲＳ」,3,20220420,,,
2612701Q4055,ポビドンヨード,イソジンフィールド液１０％,,,,,
2612701Q4063,ポビドンヨード,ポピヨドンフィールド１０％,3,,,,
2612701Q4071,ポビドンヨード,ポビドンヨードフィールド外用液１０％「明治」,3,,,,
2612701Q5027,ポビドンヨード,ポビドンヨード液１０％消毒用アプリケータ「オーツカ」１０ｍＬ,3,,,,
2612701Q6023,ポビドンヨード,ポビドンヨード液１０％消毒用アプリケータ「オーツカ」２５ｍＬ,3,,,,
2612702X1012,ヨウ素,ヨウ素,,,,,
2612702X1055,ヨウ素,ヨウ素「コザカイ・Ｍ」,,,,,
2612702X1144,ヨウ素,ヨウ素（山善）,,,,,
2612703X1017,ヨードチンキ,ヨードチンキ,,,,,
2612703X1076,ヨードチンキ,ヨードチンキ「ケンエー」,,,,,
2612703X1149,ヨードチンキ,ヨードチンキ「タイセイ」,,,,,
2612703X1173,ヨードチンキ,ヨードチンキ「東海」,,,,,
2612703X1220,ヨードチンキ,ヨードチンキ「マルイシ」,,,R5.3.31まで,,
2612703X1254,ヨードチンキ,ヨードチンキ（山善）,,,,,
2612703X1360,ヨードチンキ,ヨードチンキ「東豊」,,,,,
2612703X1378,ヨードチンキ,ヨードチンキ「日医工」,,,,,
2612704Q1068,希ヨードチンキ,山善稀ヨーチン,3,,,,
2612705X1040,ヨードチンキ,三丸ヨーチン,3,,,,
2612706Q1032,ヨウ素,プレポダインスクラブ０．７５％,,,,,
2612706Q2039,ヨウ素,プレポダインソリューション１％,,,,,
2612706Q3035,ヨウ素,プレポダインフィールド１％,,,,,
2612707X1015,ヨードホルム,ヨードホルム,,,,,
2614700X1018,オキシドール,オキシドール,,,,,
2614700X1140,オキシドール,オキシドール　シオエ,,,,,
2614700X1166,オキシドール,オキシドール「タイセイ」,,,,,
2614700X1212,オキシドール,オキシドール「ホエイ」,,,,,
2614700X1263,オキシドール,オキシドール恵美須,,,,,
2614700X1379,オキシドール,オキシドール「ヨシダ」,,,,,
2614700X1441,オキシドール,オキシドール消毒用液「マルイシ」,,,,,
2614701X1012,過マンガン酸カリウム,過マンガン酸カリウム,,,,,
2614701X1136,過マンガン酸カリウム,過マンガン酸カリウム「ニッコー」,,,,,
2615700X1015,イソプロパノール,イソプロパノール,,,,,
2615700X1082,イソプロパノール,イソプロパノール「ケンエー」,,,,,
2615700X1147,イソプロパノール,イソプロパノール「タイセイ」,,,,,
2615700X1210,イソプロパノール,イソプロパノール「マルイシ」,,,,,
2615701Q1015,イソプロパノール,イソプロパノール５０％液,,,,,
2615701Q1074,イソプロパノール,５０％イソプロ消アル「ヤマゼン」,,,,,
2615701Q1090,イソプロパノール,５０％イソプロピルアルコール（丸石）,,,,,
2615701Q1147,イソプロパノール,５０％消毒用イソプロパノール「ニッコー」,,,,,
2615701Q1457,イソプロパノール,消毒用イソプロパノール液５０％「ヤクハン」,,,,,
2615701Q1473,イソプロパノール,イソプロパノール消毒液５０％「タイセイ」,,,,,
2615701Q1481,イソプロパノール,イソプロパノール消毒液５０％「ヨシダ」,,,,,
2615701Q1520,イソプロパノール,イソプロパノール消毒液５０％「メタル」,,,,,
2615701Q1554,イソプロパノール,イソプロパノール消毒液５０％「ニプロ」,,,,,
2615701Q1562,イソプロパノール,イソプロパノール消毒液５０％「ケンエー」,,,,,
2615701Q1570,イソプロパノール,イソプロパノール消毒液５０％「東豊」,,,,,
2615701Q1589,イソプロパノール,イソプロパノール消毒液５０％「シオエ」,,,,,
2615701Q2011,イソプロパノール,イソプロパノール７０％液,,,,,
2615701Q2100,イソプロパノール,７０％消毒用イソプロパノール「ニッコー」,,,,,
2615701Q2119,イソプロパノール,７０％イソプロ消アル「ヤマゼン」,,,,,
2615701Q2127,イソプロパノール,７０％イソプロピルアルコール（丸石）,,,,,
2615701Q2283,イソプロパノール,イソプロパノール消毒液７０％「タイセイ」,,,,,
2615701Q2291,イソプロパノール,イソプロパノール消毒液７０％「ヨシダ」,,,,,
2615701Q2330,イソプロパノール,イソプロパノール消毒液７０％「メタル」,,,,,
2615701Q2348,イソプロパノール,イソプロパノール消毒液７０％「ニプロ」,,,,,
2615701Q2356,イソプロパノール,イソプロパノール消毒液７０％「ケンエー」,,,,,
2615701Q2372,イソプロパノール,イソプロパノール消毒Ｂ液７０％「ケンエー」,,,,,
2615701Q2380,イソプロパノール,イソプロパノール消毒液７０％「シオエ」,,,,,
2615701Q2402,イソプロパノール,イソプロパノール消毒液７０％「ヤクハン」,,,,,
2615702X1014,エタノール,エタノール,,,,,
2615702X1081,エタノール,エタノール（兼一）,,,,,
2615702X1103,エタノール,エタノール（小堺）,,,,,
2615702X1138,エタノール,エタノール　シオエ,,,,,
2615702X1162,エタノール,エタノール「タイセイ」,,,,,
2615702X1197,エタノール,エタノール〈ハチ〉,,,,,
2615702X1200,エタノール,エタノール「東海」,,,,,
2615702X1251,エタノール,エタノール「マルイシ」,,,,,
2615702X1286,エタノール,エタノール（山善）,,,,,
2615702X1308,エタノール,エタノール「ヤクハン」,,,,,
2615702X1359,エタノール,エタノール「タカスギ」,,,,,
2615702X1375,エタノール,エタノール「ニッコー」,,,,,
2615702X1421,エタノール,エタノール「ヨシダ」,,,,,
2615702X1430,エタノール,エタノール「ケンエー」,,,,,
2615702X1472,エタノール,エタノールワコー,,,,,
2615702X1480,エタノール,エタノール「東豊」,,,,,
2615703X1019,消毒用エタノール,消毒用エタノール,,,,,
2615703X1086,消毒用エタノール,消毒用エタノール（兼一）,,,,,
2615703X1116,消毒用エタノール,消毒用エタノール「コザカイ・Ｍ」,,,,,
2615703X1132,消毒用エタノール,消毒用エタノール　シオエ,,,,,
2615703X1175,消毒用エタノール,消毒用エタノール「タイセイ」,,,,,
2615703X1205,消毒用エタノール,消毒用エタノール〈ハチ〉,,,,,
2615703X1213,消毒用エタノール,消毒用エタノール「東海」,,,,,
2615703X1230,消毒用エタノール,消毒用エタノール「メタル」,,,,,
2615703X1272,消毒用エタノール,消毒用エタノール「マルイシ」,,,,,
2615703X1310,消毒用エタノール,消毒用エタノール「ヤクハン」,,,,,
2615703X1329,消毒用エタノール,消毒用エタノール「ヤマゼン」Ｍ,,,,,
2615703X1361,消毒用エタノール,消毒用エタノール「昭和」（Ｍ）,,,,,
2615703X1370,消毒用エタノール,消毒用エタノール「タカスギ」,,,,,
2615703X1396,消毒用エタノール,消毒用エタノール「ニッコー」,,,,,
2615703X1434,消毒用エタノール,消毒用エタノール（ミツマル）,,,,,
2615703X1442,消毒用エタノール,消毒用エタノール「ヨシダ」,,,,,
2615703X1450,消毒用エタノール,消毒用エタノール「ケンエー」,,,,,
2615703X1493,消毒用エタノール,消毒用エタノールワコー,,,,,
2615703X1507,消毒用エタノール,サラヤ消毒用エタノール,,,,,
2615703X1515,消毒用エタノール,消毒用エタノール「トライックス」,,,,,
2615703X1523,消毒用エタノール,消毒用エタノール「東豊」,,,,,
2615703X1558,消毒用エタノール,消毒用エタノール「ＮＰ」,,,,,
2615704X1013,無水エタノール,無水エタノール,,,,,
2615704X1099,無水エタノール,無水エタノール「コザカイ・Ｍ」,,,,,
2615704X1110,無水エタノール,無水エタノール　シオエ,,,,,
2615704X1153,無水エタノール,無水エタノール「タイセイ」,,,,,
2615704X1188,無水エタノール,無水エタノール〈ハチ〉,,,,,
2615704X1196,無水エタノール,無水エタノール「東海」,,,,,
2615704X1234,無水エタノール,無水エタノール「マルイシ」,,,,,
2615704X1250,無水エタノール,無水エタノール「ヤクハン」,,,,,
2615704X1277,無水エタノール,無水エタノール（山善）,,,,,
2615704X1285,無水エタノール,無水エタノール「イマヅ」,,,,,
2615704X1293,無水エタノール,無水エタノール「コニシ」,,,,,
2615704X1315,無水エタノール,無水エタノール「ニッコー」,,,,,
2615704X1340,無水エタノール,無水エタノール（ミツマル）,,,,,
2615704X1358,無水エタノール,無水エタノール「ヨシダ」,,,,,
2615704X1366,無水エタノール,無水エタノール「ケンエー」,,,,,
2615704X1404,無水エタノール,無水エタノールワコー,,,,,
2615704X1412,無水エタノール,無水エタノール「東豊」,,,,,
2615705Q1021,エタノール,消毒用エタノールＢ液「ケンエー」,,,,,
2615705Q1048,エタノール,消毒用エタノール液ＩＰ,3,,,,
2615705Q1056,エタノール,消毒用エタノールＢ液ＩＰ,3,,,,
2615705Q1064,エタノール,消毒用エタプロコール,3,,,,
2615705Q1072,エタノール,消毒用エタライト液,3,,,,
2615705Q1099,エタノール,消エタコア,3,,,,
2615705Q1102,エタノール,消毒用エタＩＰ「メタル」,3,,,,
2615705Q1110,エタノール,消毒用エタノールα「カネイチ」,3,,,,
2615705Q1129,エタノール,消毒用エタプロコールＵ,3,,,,
2615705Q1145,エタノール,消エタサラコール,3,,,,
2615705Q1170,エタノール,消毒用エタライトＢ液,3,,,,
2615705Q1200,エタノール,エコ消エタ消毒液,3,,,,
2615705Q1226,エタノール,オー消エタ消毒液,3,,,,
2615705Q1234,エタノール,消毒用エタノールＩＰＡ液「東豊」,3,,,,
2616700Q1018,ベンザルコニウム塩化物,ベンザルコニウム塩化物液,,,,,
2616700Q1140,ベンザルコニウム塩化物,塩化ベンザルコニウム液（山善）,,,,,
2616700Q1212,ベンザルコニウム塩化物,塩化ベンザルコニウム液（１０Ｗ／Ｖ％）恵美須,,,,,
2616700Q1522,ベンザルコニウム塩化物,逆性石鹸消毒液１０％「シオエ」,,,,,
2616700Q1557,ベンザルコニウム塩化物,オロナイン外用液１０％,,,,,
2616700Q1646,ベンザルコニウム塩化物,オスバン消毒液１０％,,,,,
2616700Q1700,ベンザルコニウム塩化物,ベンザルコニウム塩化物消毒用液１０Ｗ／Ｖ％「ファイザー」,,,R5.3.31まで,,
2616700Q1719,ベンザルコニウム塩化物,ベンザルコニウム塩化物消毒液１０％〈ハチ〉,,,,,
2616700Q1735,ベンザルコニウム塩化物,ベンザルコニウム塩化物消毒用液１０Ｗ／Ｖ％「ＶＴＲＳ」,,20220420,,,
2616700Q2014,ベンザルコニウム塩化物,ベンザルコニウム塩化物液,,,,,
2616700Q3010,ベンザルコニウム塩化物,濃ベンザルコニウム塩化物液５０,,,,,
2616700Q3045,ベンザルコニウム塩化物,５０％塩化ベンザルコニウム液「ヤクハン」,,,,,
2616700Q3061,ベンザルコニウム塩化物,逆性石ケン液５０「ヨシダ」,,,,,
2616700Q3142,ベンザルコニウム塩化物,ヂアミトール消毒用液５０Ｗ／Ｖ％,,,,,
2616700Q4017,ベンザルコニウム塩化物,ベンザルコニウム塩化物液,,,,,
2616700Q4041,ベンザルコニウム塩化物,０．０２５Ｗ／Ｖ％ヂアミトール水,,,,,
2616700Q5013,ベンザルコニウム塩化物,ベンザルコニウム塩化物液,,,,,
2616700Q5021,ベンザルコニウム塩化物,ザルコニン液０．０５,,,,,
2616700Q5030,ベンザルコニウム塩化物,逆性石ケン液０．０５「ヨシダ」,,,,,
2616700Q5048,ベンザルコニウム塩化物,０．０５Ｗ／Ｖ％ヂアミトール水,,,,,
2616700Q6010,ベンザルコニウム塩化物,ベンザルコニウム塩化物液,,,,,
2616700Q6028,ベンザルコニウム塩化物,ザルコニン液０．１,,,,,
2616700Q6036,ベンザルコニウム塩化物,逆性石ケン液０．１「ヨシダ」,,,,,
2616700Q7016,ベンザルコニウム塩化物,ベンザルコニウム塩化物液,,,,,
2616700Q8012,ベンザルコニウム塩化物,ベンザルコニウム塩化物液,,,,,
2616700Q8020,ベンザルコニウム塩化物,ザルコニン液０．０１,,,,,
2616700Q9019,ベンザルコニウム塩化物,ベンザルコニウム塩化物液,,,,,
2616700Q9035,ベンザルコニウム塩化物,ザルコニン液０．０２,,,,,
2616701Q1012,ベンゼトニウム塩化物,ベンゼトニウム塩化物液,,,,,
2616701Q2019,ベンゼトニウム塩化物,ベンゼトニウム塩化物液,,,,,
2616701Q3015,ベンゼトニウム塩化物,ベンゼトニウム塩化物液,,,,,
2616701Q4011,ベンゼトニウム塩化物,ベンゼトニウム塩化物液,,,,,
2616701Q5018,ベンゼトニウム塩化物,ベンゼトニウム塩化物液,,,,,
2616701Q5026,ベンゼトニウム塩化物,ベゼトン液０．１,,,,,
2616701Q6014,ベンゼトニウム塩化物,ベンゼトニウム塩化物液,,,,,
2616701Q7010,ベンゼトニウム塩化物,ベンゼトニウム塩化物液,,,,,
2616701X1017,ベンゼトニウム塩化物,ベンゼトニウム塩化物,,,,,
2616702X1011,メチルロザニリン塩化物,メチルロザニリン塩化物,,,,,
2616703Q1011,クレゾール石ケン,クレゾール石ケン液,,,,,
2616706X1010,薬用石ケン,薬用石ケン,,,,,
2616707Q1028,ベンザルコニウム塩化物,プリビーシー液０．０２％,3,,,,
2616707Q2024,ベンザルコニウム塩化物,プリビーシー液０．０５％,3,,,,
2616707Q3020,ベンザルコニウム塩化物,プリビーシー液０．１％,3,,,,
2616707Q3039,ベンザルコニウム塩化物,ヤクゾールＥ液０．１,3,,,,
2616707Q4027,ベンザルコニウム塩化物,ザルコニンＧ消毒液１０,3,,,,
2619700Q1214,アクリノール水和物,アクリノール消毒液０．１％「タイセイ」,3,,,,
2619700Q1222,アクリノール水和物,アクリノール消毒液０．１％「東豊」,,,R5.3.31まで,,
2619700Q2130,アクリノール水和物,アクリノール消毒液０．２％「タイセイ」,3,,,,
2619701X1019,クレオソート,クレオソート,,,,,
2619702Q1035,クロルヘキシジングルコン酸塩,ステリクロンＷエタノール液０．５,,,,,
2619702Q1060,クロルヘキシジングルコン酸塩,マスキンＷ・エタノール液（０．５ｗ／ｖ％）,,,,,
2619702Q1078,クロルヘキシジングルコン酸塩,０．５％ヘキザックアルコール液,,,,,
2619702Q1086,クロルヘキシジングルコン酸塩,０．５％ラポテックアルコール液,,,,,
2619702Q1132,クロルヘキシジングルコン酸塩,ステリクロンＷ液０．５,,,,,
2619702Q1159,クロルヘキシジングルコン酸塩,０．５ｗ／ｖ％マスキン水,,,,,
2619702Q1167,クロルヘキシジングルコン酸塩,０．５％ラポテックアルコール（Ｗ）液,,,,,
2619702Q1175,クロルヘキシジングルコン酸塩,０．５％ヘキザック水Ｗ,,,,,
2619702Q1191,クロルヘキシジングルコン酸塩,クロバインＡ,,,,,
2619702Q1213,クロルヘキシジングルコン酸塩,０．５％グルコジンＷ水,,,,,
2619702Q1248,クロルヘキシジングルコン酸塩,グルコジンＷ・エタノール液０．５％,,,,,
2619702Q1256,クロルヘキシジングルコン酸塩,イワコールエタノール消毒液０．５％,,,,,
2619702Q1272,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩消毒用液ＥＷ０．５％「ＮＰ」,,,,,
2619702Q2023,クロルヘキシジングルコン酸塩,ステリクロンＲエタノール液０．５,,,,,
2619702Q2040,クロルヘキシジングルコン酸塩,マスキンＲ・エタノール液（０．５ｗ／ｖ％）,,,,,
2619702Q2058,クロルヘキシジングルコン酸塩,０．５％グルコン酸クロルヘキシジン・エタノール液「東海」,,,,,
2619702Q2082,クロルヘキシジングルコン酸塩,ステリクロンＲ液０．５,,,,,
2619702Q2104,クロルヘキシジングルコン酸塩,０．５％ヘキザック水Ｒ,,,,,
2619702Q2112,クロルヘキシジングルコン酸塩,ステリクロンＢエタノール液０．５,,,,,
2619702Q2120,クロルヘキシジングルコン酸塩,０．５％グルコジンＲ水,,,,,
2619702Q2139,クロルヘキシジングルコン酸塩,０．５％ヘキザックアルコール液Ｎ,,,,,
2619702Q2180,クロルヘキシジングルコン酸塩,グルコジンＲ・エタノール液０．５％,,,,,
2619702Q2198,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩エタノール消毒液０．５％Ｒ「カネイチ」,,,,,
2619702Q3054,クロルヘキシジングルコン酸塩,クロヘキシン液５％,,,,,
2619702Q3070,クロルヘキシジングルコン酸塩,グルコン酸クロルヘキシジン５％液「メタル」,,,,,
2619702Q3097,クロルヘキシジングルコン酸塩,５％ヘキザック液,,,,,
2619702Q3100,クロルヘキシジングルコン酸塩,５％クロルヘキシジン液「ヤマゼン」,,,,,
2619702Q3119,クロルヘキシジングルコン酸塩,５％グルコン酸クロルヘキシジン液「東海」,,,,,
2619702Q3135,クロルヘキシジングルコン酸塩,５％ヒビテン液,,,,,
2619702Q3160,クロルヘキシジングルコン酸塩,マスキン液（５Ｗ／Ｖ％）,,,,,
2619702Q3194,クロルヘキシジングルコン酸塩,ステリクロン液５,,,,,
2619702Q3216,クロルヘキシジングルコン酸塩,ラポテック消毒液５％,,,,,
2619702Q3232,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩消毒用液５％「ＮＰ」,,,,,
2619702Q3259,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩消毒液５％「カネイチ」,,,,,
2619702Q3267,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩消毒液５％「シオエ」,,,,,
2619702Q3275,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩消毒液５％「日医工」,,,,,
2619702Q5030,クロルヘキシジングルコン酸塩,５％グルクロ液,,,,,
2619702Q5049,クロルヘキシジングルコン酸塩,ネオクレミール消毒液５％,,,,,
2619702Q6029,クロルヘキシジングルコン酸塩,ステリクロンＲ液０．０５,,,,,
2619702Q6045,クロルヘキシジングルコン酸塩,０．０５Ｗ／Ｖ％マスキン水,,,,,
2619702Q6053,クロルヘキシジングルコン酸塩,０．０５％グルコジンＲ水,,,,,
2619702Q6070,クロルヘキシジングルコン酸塩,０．０５％ヘキザック水Ｒ,,,,,
2619702Q7025,クロルヘキシジングルコン酸塩,ステリクロンＲ液０．１,,,,,
2619702Q7033,クロルヘキシジングルコン酸塩,０．１％ヘキザック水Ｒ,,,,,
2619702Q8021,クロルヘキシジングルコン酸塩,ステリクロンＷ液０．０２,,,,,
2619702Q8030,クロルヘキシジングルコン酸塩,０．０２ｗ／ｖ％マスキン水,,,,,
2619702Q8048,クロルヘキシジングルコン酸塩,０．０２％ヘキザック水Ｗ,,,,,
2619702Q8056,クロルヘキシジングルコン酸塩,０．０２％グルコジンＷ水,,,,,
2619702X1021,クロルヘキシジングルコン酸塩,ステリクロンＷ液０．１,,,,,
2619702X1030,クロルヘキシジングルコン酸塩,０．１％ヘキザック水Ｗ,,,,,
2619702X1048,クロルヘキシジングルコン酸塩,０．１ｗ／ｖ％マスキン水,,,,,
2619702X1056,クロルヘキシジングルコン酸塩,０．１％グルコジンＷ水,,,,,
2619702X2028,クロルヘキシジングルコン酸塩,ステリクロンＷ液０．０５,,,,,
2619702X2036,クロルヘキシジングルコン酸塩,０．０５％グルコジンＷ水,,,,,
2619702X2044,クロルヘキシジングルコン酸塩,０．０５％ヘキザック水Ｗ,,,,,
2619704X1012,フェノール,フェノール,,,,,
2619704X1063,フェノール,フェノール「コザカイ・Ｍ」,,,,,
2619704X1225,フェノール,フェノール「ニッコー」,,,R5.3.31まで,,
2619705X1017,液状フェノール,液状フェノール,,,,,
2619705X1050,液状フェノール,液状フェノール「ケンエー」,,,,,
2619705X1203,液状フェノール,液状フェノール（山善）,,,,,
2619705X1238,液状フェノール,液状フェノール「ニッコー」,,,R5.3.31まで,,
2619705X1289,液状フェノール,液状フェノール「日医工」,,,,,
2619706X1011,消毒用フェノール,消毒用フェノール,,,,,
2619707X1016,フェノール水,フェノール水,,,,,
2619707X1113,フェノール水,フェノール水「ニッコー」,,,R5.3.31まで,,
2619708X1010,ホルマリン,ホルマリン,,,,,
2619708X1061,ホルマリン,ホルマリン「ケンエー」,,,,,
2619708X1118,ホルマリン,ホルマリン「タイセイ」,,,,,
2619708X1193,ホルマリン,ホルマリン（山善）,,,,,
2619711X1020,レゾルシン,レゾルシン「純生」,3,,,,
2619713Q1017,クロルヘキシジングルコン酸塩,クロルヘキシジングルコン酸塩液,,,,,
2619714X1016,アクリノール水和物,アクリノール水和物,,,,,
2619715Q1016,消毒用フェノール水,消毒用フェノール水,,,,,
2619716Q1010,アルキルジアミノエチルグリシン塩酸塩,アルキルジアミノエチルグリシン塩酸塩１０％液,3,,,,
2619716Q3013,アルキルジアミノエチルグリシン塩酸塩,アルキルジアミノエチルグリシン塩酸塩０．０５％液,3,,,,
2619716Q4028,アルキルジアミノエチルグリシン塩酸塩,エルエイジー０．５液,3,,,,
2619716Q4036,アルキルジアミノエチルグリシン塩酸塩,サテニジン液０．５,3,,,,
2619716Q4044,アルキルジアミノエチルグリシン塩酸塩,０．５Ｗ／Ｖ％ハイジール水,3,,,,
2619716Q5024,アルキルジアミノエチルグリシン塩酸塩,エルエイジー０．１液,3,,,,
2619716Q5032,アルキルジアミノエチルグリシン塩酸塩,サテニジン液０．１,3,,,,
2619716Q5040,アルキルジアミノエチルグリシン塩酸塩,０．１Ｗ／Ｖ％ハイジール水,3,,,,
2619716Q6012,アルキルジアミノエチルグリシン塩酸塩,アルキルジアミノエチルグリシン塩酸塩０．２％液,3,,,,
2619800X1020,エタノール,エチコール（ニワトリ印消毒用アルコール）,3,,,,
2619801X1025,エタノール,東豊消アル,,,,,
2619803X1024,エタノール,山善消アル,3,,,,
2619805X1023,エタノール,ネオ消アル「ヨシダ」,,,,,
2619805X1031,エタノール,メタル消アル,3,,,,
2619805X1066,エタノール,消毒用マルオアルコール,3,,,,
2619810X1059,エタノール,消毒用ネオアルコール「ケンエー」,,,,,
2619810X1067,エタノール,消毒用アルコール配合液「ＮＰ」,,,,,
2619813X1028,エタノール,ネオ兼一消アルＡ,3,,,,
2619815X1027,エタノール,消毒用昭和アルコール,3,,,,
2619817X1026,エタノール,ネオ消アル（山善）,3,,,,
2619819X1092,チオ硫酸ナトリウム水和物・エタノール,ハイポアルコール液２％「ヤクハン」,3,,,,
2619819X1106,チオ硫酸ナトリウム水和物・エタノール,ハイポエタノール液２％「ヨシダ」,3,,,,
2619819X1130,チオ硫酸ナトリウム水和物・エタノール,ハイポエタノール液２％「ケンエー」,3,,,,
2619819X1149,チオ硫酸ナトリウム水和物・エタノール,ハイポエタノール液２％「ニッコー」,3,,,,
2619820Q1031,エタノール,ネオ消アル「ニッコー」,3,,,,
2619821X1022,エタノール,消毒用ミツマルアルコール,,,,,
2633705N1031,スルファジアジン銀,ゲーベンクリーム１％,,,,,
2634703X1014,テトラサイクリン塩酸塩,テトラサイクリン塩酸塩,,,,,
2634704M1047,テトラサイクリン塩酸塩,アクロマイシン軟膏３％,,,,,
2634705X1013,クロラムフェニコール,クロラムフェニコール,,,,,
2634706M1020,クロラムフェニコール,クロロマイセチン軟膏２％,,,,,
2634706Q1030,クロラムフェニコール,クロロマイセチン局所用液５％,,,,,
2634708M1037,フシジン酸ナトリウム,フシジンレオ軟膏２％,,,,,
2634710M1018,ゲンタマイシン硫酸塩,ゲンタマイシン硫酸塩１ｍｇ軟膏,,,,,
2634710M1077,ゲンタマイシン硫酸塩,ゲンタシン軟膏０．１％,,,,,
2634710M1085,ゲンタマイシン硫酸塩,ゲンタマイシン硫酸塩軟膏０．１％「イワキ」,,,,,
2634710M1093,ゲンタマイシン硫酸塩,ゲンタマイシン硫酸塩軟膏０．１％「Ｆ」,,,,,
2634710N1030,ゲンタマイシン硫酸塩,ゲンタシンクリーム０．１％,,,,,
2634711S1046,フラジオマイシン硫酸塩,ソフラチュール貼付剤１０ｃｍ,,,,,
2634711S2034,フラジオマイシン硫酸塩,ソフラチュール貼付剤３０ｃｍ,,,,,
2634712X1013,ポリミキシンＢ硫酸塩,ポリミキシンＢ硫酸塩,,,,,
2634712X2010,ポリミキシンＢ硫酸塩,ポリミキシンＢ硫酸塩,,,,,
2634713M1011,クリンダマイシンリン酸エステル,クリンダマイシンリン酸エステル１％ゲル,3,,,,
2634713M1020,クリンダマイシンリン酸エステル,ダラシンＴゲル１％,2,,,,
2634713Q1021,クリンダマイシンリン酸エステル,ダラシンＴローション１％,2,,,,
2639700M1029,ナジフロキサシン,アクアチム軟膏１％,2,,,,
2639700N1016,ナジフロキサシン,ナジフロキサシン１％クリーム,3,,,,
2639700N1032,ナジフロキサシン,アクアチムクリーム１％,2,,,,
2639700Q1012,ナジフロキサシン,ナジフロキサシン１％ローション,3,,,,
2639700Q1055,ナジフロキサシン,アクアチムローション１％,2,,,,
2639701N1029,オゼノキサシン,ゼビアックス油性クリーム２％,1,,,,
2639701Q1025,オゼノキサシン,ゼビアックスローション２％,1,,,,
2639802M1026,クロラムフェニコール・フラジオマイシン配合剤,クロマイ－Ｐ軟膏,,,,,
2639802M1034,クロラムフェニコール・フラジオマイシン配合剤,ハイセチンＰ軟膏,3,,,,
2639804M1025,オキシテトラサイクリン塩酸塩・ポリミキシンＢ硫酸塩,テラマイシン軟膏（ポリミキシンＢ含有）,,,,,
2639805M1020,バシトラシン・フラジオマイシン硫酸塩,バラマイシン軟膏,,,,,
2641700X1015,サリチル酸メチル,サリチル酸メチル,,,,,
