"薬価基準収載
医薬品コード",成分名,品名,各先発医薬品の後発医薬品の有無に関する情報,"収載年月日(YYYYMMDD)
【例】
2014年4月1日
(20140401)",備考
3999405D1026,ウリナスタチン,ミラクリッド,１,,
3999405D2022,ウリナスタチン,ミラクリッド,１,,
3999405D3029,ウリナスタチン,ミラクリッド,１,,
3999406A1032,シクロスポリン,サンディミュン点滴静注用２５０ｍｇ,１,,
3999407D1017,ナファモスタットメシル酸塩,ナファモスタットメシル酸塩１０ｍｇ注射用,３,,
3999407D1181,ナファモスタットメシル酸塩,注射用フサン１０,２,,
3999407D1190,ナファモスタットメシル酸塩,コアヒビター注射用１０ｍｇ,３,,
3999407D2013,ナファモスタットメシル酸塩,ナファモスタットメシル酸塩５０ｍｇ注射用,３,,
3999407D2021,ナファモスタットメシル酸塩,注射用フサン５０,２,,
3999407D2056,ナファモスタットメシル酸塩,注射用ナファモスタット５０「ＭＥＥＫ」,３,,
3999407D2200,ナファモスタットメシル酸塩,コアヒビター注射用５０ｍｇ,３,,
3999407D3028,ナファモスタットメシル酸塩,注射用ナオタミン１００,３,,
3999407D3060,ナファモスタットメシル酸塩,注射用ブイペル１００,３,,
3999407D3079,ナファモスタットメシル酸塩,注射用ベラブ１００ｍｇ,３,,
3999407D3087,ナファモスタットメシル酸塩,注射用ナファタット１００,３,,
3999407D3095,ナファモスタットメシル酸塩,コアヒビター注射用１００ｍｇ,３,,
3999407D3109,ナファモスタットメシル酸塩,注射用ナファモスタット１００「ＭＥＥＫ」,３,,
3999407D3117,ナファモスタットメシル酸塩,ナファモスタットメシル酸塩注射用１００ｍｇ「ＡＦＰ」,３,,
3999407D3125,ナファモスタットメシル酸塩,ナファモスタットメシル酸塩注射用１００ｍｇ「ＮｉｋＰ」,３,,
3999407D3133,ナファモスタットメシル酸塩,ナファモスタットメシル酸塩注射用１００ｍｇ「フソー」,３,20140620,
3999407D4024,ナファモスタットメシル酸塩,コアヒビター注射用１５０ｍｇ,３,,
3999408A1015,ヒアルロン酸ナトリウム,ヒアルロン酸ナトリウム１％２．５ｍＬ注射液,３,,
3999408A1171,ヒアルロン酸ナトリウム,アルツ関節注２５ｍｇ,２,,
3999408A1198,ヒアルロン酸ナトリウム,ホスビロン関節注２５ｍｇ,３,,
3999408A1228,ヒアルロン酸ナトリウム,アルヒーロ関節注２５ｍｇ,３,,
3999408A1252,ヒアルロン酸ナトリウム,ヒアルトーワ関節注２５ｍｇ,３,,
3999408A1295,ヒアルロン酸ナトリウム,ヒアルロン酸ナトリウム関節注２５ｍｇ「日医工」,３,20140620,
3999408A2038,ヒアルロン酸ナトリウム,スベニールバイアル関節注２５ｍｇ,２,,
3999408G1018,ヒアルロン酸ナトリウム,ヒアルロン酸ナトリウム１％２．５ｍＬキット,３,,
3999408G1247,ヒアルロン酸ナトリウム,アルツディスポ関節注２５ｍｇ,２,,
3999408G1255,ヒアルロン酸ナトリウム,スベニールディスポ関節注２５ｍｇ,２,,
3999408G1280,ヒアルロン酸ナトリウム,ヒアロス関節注２５ｍｇ,３,,
3999408G1328,ヒアルロン酸ナトリウム,ヒカミロンディスポ関節注２５ｍｇ,３,,
3999408G1336,ヒアルロン酸ナトリウム,ヒュースレン関節注ディスポ２５ｍｇ,３,,
3999408G1344,ヒアルロン酸ナトリウム,プリーラディスポ関節注２５ｍｇ,３,,
3999408G1352,ヒアルロン酸ナトリウム,ホスビロンディスポ関節注２５ｍｇ,３,,
3999408G1360,ヒアルロン酸ナトリウム,ソルペント・ディスポ関節注２５ｍｇ,３,,
3999408G1387,ヒアルロン酸ナトリウム,ルミステロンディスポ関節注２５ｍｇ,３,,
3999408G1395,ヒアルロン酸ナトリウム,ヒアルロン酸Ｎａ関節注２５ｍｇシリンジ「ＮＰ」,３,,
3999408G1417,ヒアルロン酸ナトリウム,ヒアルロン酸ナトリウム関節注２５ｍｇシリンジ「日医工」,３,20140620,
3999409A2032,Ｌ－グルタミン酸Ｌ－アルギニン,アルギメート点滴静注１０％,,,
3999410A2027,Ｌ－グルタミン酸ナトリウム水和物,点滴静注用アンコーマ２０％,,,
3999411A1017,オザグレルナトリウム,オザグレルナトリウム２０ｍｇ２ｍＬ注射液,３,,
3999411A1033,オザグレルナトリウム,オザペン注２０ｍｇ,３,,
3999411A1068,オザグレルナトリウム,オザグレルＮａ静注液２０ｍｇ「日医工」,３,,
3999411A2048,オザグレルナトリウム,オザグレルＮａ点滴静注８０ｍｇ「ＭＥＥＫ」,３,,
3999411A2056,オザグレルナトリウム,オザグレルＮａ静注液８０ｍｇ「日医工」,３,,
3999411A3010,オザグレルナトリウム,オザグレルナトリウム２０ｍｇ１ｍＬ注射液,３,,
3999411A3052,オザグレルナトリウム,オサグレン点滴静注２０ｍｇ,３,,
3999411A3079,オザグレルナトリウム,オザグレルＮａ点滴静注液２０ｍｇ「ケミファ」,３,,
3999411A4032,オザグレルナトリウム,オザグレルナトリウム点滴静注液８０ｍｇ「ＪＤ」,３,,
3999411A4040,オザグレルナトリウム,オサグレン点滴静注８０ｍｇ,３,,
3999411A4067,オザグレルナトリウム,キサクロット点滴静注８０ｍｇ,３,,
3999411A4075,オザグレルナトリウム,オザグレルＮａ点滴静注液８０ｍｇ「ケミファ」,３,,
3999411A4083,オザグレルナトリウム,オザグレルＮａ点滴静注８０ｍｇ「ＩＰ」,３,20140620,
3999411A6019,オザグレルナトリウム,オザグレルナトリウム４０ｍｇ２ｍＬ注射液,３,,
3999411A6078,オザグレルナトリウム,オザグレルＮａ点滴静注液４０ｍｇ「ケミファ」,３,,
3999411A7023,オザグレルナトリウム,オザペン注４０ｍｇ,３,,
3999411A8020,オザグレルナトリウム,オザペン注８０ｍｇ,３,,
3999411A9034,オザグレルナトリウム,オザグレルＮａ点滴静注４０ｍｇ「ＭＥＥＫ」,３,,
3999411A9042,オザグレルナトリウム,オザグレルＮａ静注液４０ｍｇ「日医工」,３,,
3999411D1013,オザグレルナトリウム,オザグレルナトリウム２０ｍｇ注射用,３,,
3999411D1056,オザグレルナトリウム,注射用カタクロット２０ｍｇ,２,,
3999411D1064,オザグレルナトリウム,キサンボン注射用２０ｍｇ,２,,
3999411D1102,オザグレルナトリウム,注射用オグザロット２０ｍｇ,３,,
3999411D1110,オザグレルナトリウム,アトロンボン注射用２０ｍｇ,３,,
3999411D1170,オザグレルナトリウム,オサグレン点滴静注用２０ｍｇ,３,,
3999411D1196,オザグレルナトリウム,オザグレルＮａ注射用２０ｍｇ「ＳＷ」,３,,
3999411D1200,オザグレルナトリウム,オザグレルＮａ静注用２０ｍｇ「日医工」,３,,
3999411D2010,オザグレルナトリウム,オザグレルナトリウム４０ｍｇ注射用,３,,
3999411D2028,オザグレルナトリウム,注射用カタクロット４０ｍｇ,２,,
3999411D2036,オザグレルナトリウム,キサンボン注射用４０ｍｇ,２,,
3999411D3024,オザグレルナトリウム,アトロンボン注射用８０ｍｇ,３,,
3999411G1028,オザグレルナトリウム,オキリコン注シリンジ２０ｍｇ,３,,
3999411G2024,オザグレルナトリウム,オキリコン注シリンジ４０ｍｇ,３,,
3999411G3020,オザグレルナトリウム,オキリコン注シリンジ８０ｍｇ,３,,
3999411G4027,オザグレルナトリウム,キサクロット注８０ｍｇシリンジ,３,,
3999411G4035,オザグレルナトリウム,オザグレルＮａ注射液８０ｍｇシリンジ「サワイ」,３,,
3999411G4043,オザグレルナトリウム,オザグレルＮａ注８０ｍｇシリンジ「ＩＰ」,３,20140620,
3999411G5023,オザグレルナトリウム,オザペンバッグ注８０ｍｇ,３,,
3999411G5031,オザグレルナトリウム,オザグレルＮａ注射液８０ｍｇバッグ「サワイ」,３,,
3999411G5040,オザグレルナトリウム,オザグレルＮａ点滴静注８０ｍｇバッグ「ＤＫ」,３,,
3999411G5058,オザグレルナトリウム,オザグレルＮａ点滴静注８０ｍｇバッグ「ＳＮ」,３,,
3999411G5066,オザグレルナトリウム,オザグレルＮａ点滴静注８０ｍｇバッグ「タカタ」,３,,
3999411G5074,オザグレルナトリウム,オザグレルＮａ点滴静注８０ｍｇバッグ「テルモ」,３,,
3999411G6020,オザグレルナトリウム,オザグレルＮａ注射液２０ｍｇシリンジ「サワイ」,３,,
3999411G7026,オザグレルナトリウム,オザグレルＮａ注射液４０ｍｇシリンジ「サワイ」,３,,
3999411H1031,オザグレルナトリウム,オザグレルＮａ点滴静注８０ｍｇ「タカタ」,３,,
3999411H2020,オザグレルナトリウム,カタクロット注射液２０ｍｇ,２,,
3999411H2038,オザグレルナトリウム,キサンボンＳ注射液２０ｍｇ,２,,
3999411H3026,オザグレルナトリウム,カタクロット注射液４０ｍｇ,２,,
3999411H3034,オザグレルナトリウム,キサンボンＳ注射液４０ｍｇ,２,,
3999411H7030,オザグレルナトリウム,オザグレルＮａ点滴静注２０ｍｇ「タカタ」,３,,
3999411H8010,オザグレルナトリウム,オザグレルナトリウム４０ｍｇ２ｍＬ注射液,３,,
3999412A1020,エポエチンアルファ（遺伝子組換え）,エスポー注射液１５００,２,,
3999412A2026,エポエチンアルファ（遺伝子組換え）,エスポー注射液３０００,２,,
3999412A3022,エポエチンアルファ（遺伝子組換え）,エスポー皮下用６０００,１,,
3999412A4029,エポエチンアルファ（遺伝子組換え）,エスポー皮下用９０００,１,,
3999412A5025,エポエチンアルファ（遺伝子組換え）,エスポー皮下用１２０００,１,,
3999412A6021,エポエチンアルファ（遺伝子組換え）,エスポー皮下用２４０００,１,,
3999412A7028,エポエチンアルファ（遺伝子組換え）,エスポー注射液７５０,☆,,
3999412G1022,エポエチンアルファ（遺伝子組換え）,エスポー注射液７５０シリンジ,２,,
3999412G2029,エポエチンアルファ（遺伝子組換え）,エスポー注射液１５００シリンジ,２,,
3999412G3025,エポエチンアルファ（遺伝子組換え）,エスポー注射液３０００シリンジ,２,,
3999412G4021,エポエチンアルファ（遺伝子組換え）,エスポー皮下用６０００シリンジ,１,,
3999412G5028,エポエチンアルファ（遺伝子組換え）,エスポー皮下用９０００シリンジ,１,,
3999412G6024,エポエチンアルファ（遺伝子組換え）,エスポー皮下用１２０００シリンジ,１,,
3999412G7020,エポエチンアルファ（遺伝子組換え）,エスポー皮下用２４０００シリンジ,１,,
3999413A1032,エポエチンベータ（遺伝子組換え）,エポジン注アンプル７５０,１,,
3999413A2039,エポエチンベータ（遺伝子組換え）,エポジン注アンプル１５００,１,,
3999413A3035,エポエチンベータ（遺伝子組換え）,エポジン注アンプル３０００,１,,
3999413A4031,エポエチンベータ（遺伝子組換え）,エポジン注アンプル６０００,１,,
3999413A5046,エポエチンベータ（遺伝子組換え）,エポジン皮下注アンプル９０００,１,,
3999413A6042,エポエチンベータ（遺伝子組換え）,エポジン皮下注アンプル１２０００,１,,
3999413G1035,エポエチンベータ（遺伝子組換え）,エポジン注シリンジ７５０,１,,
3999413G2031,エポエチンベータ（遺伝子組換え）,エポジン注シリンジ１５００,１,,
3999413G3038,エポエチンベータ（遺伝子組換え）,エポジン注シリンジ３０００,１,,
3999413G4034,エポエチンベータ（遺伝子組換え）,エポジン注シリンジ６０００,１,,
3999413G5049,エポエチンベータ（遺伝子組換え）,エポジン皮下注シリンジ９０００,１,,
3999413G6045,エポエチンベータ（遺伝子組換え）,エポジン皮下注シリンジ１２０００,１,,
3999413G7025,エポエチンベータ（遺伝子組換え）,エポジン皮下注シリンジ２４０００,１,,
3999414A1010,カルシトニン（サケ）,カルシトニン（サケ）１０国際単位０．５ｍＬ注射液,３,,
3999414A1096,カルシトニン（サケ）,レトン筋注１０単位,３,,
3999414A2025,カルシトニン（サケ）,カルシトラン注１０,２,,
3999414D1025,カルシトニン（サケ）,注射用カルシトラン１０,２,,
3999415A2089,チオクト酸,リポアラン静注２５ｍｇ,３,,
3999415A2097,チオクト酸,チオトミン注２５ｍｇ,,,
3999416A1028,タクロリムス水和物,プログラフ注射液５ｍｇ,１,,
3999416A2024,タクロリムス水和物,プログラフ注射液２ｍｇ,１,,
3999417D1037,グスペリムス塩酸塩,スパニジン点滴静注用１００ｍｇ,１,,
3999418D1031,パミドロン酸二ナトリウム水和物,パミドロン酸二Ｎａ点滴静注用１５ｍｇ「Ｆ」,３,,
3999418D1040,パミドロン酸二ナトリウム水和物,パミドロン酸二Ｎａ点滴静注用１５ｍｇ「サワイ」,３,,
3999418D1058,パミドロン酸二ナトリウム水和物,アレディア点滴静注用１５ｍｇ,２,,
3999418D2038,パミドロン酸二ナトリウム水和物,パミドロン酸二Ｎａ点滴静注用３０ｍｇ「Ｆ」,３,,
3999418D2046,パミドロン酸二ナトリウム水和物,パミドロン酸二Ｎａ点滴静注用３０ｍｇ「サワイ」,３,,
3999418D2054,パミドロン酸二ナトリウム水和物,アレディア点滴静注用３０ｍｇ,２,,
3999419A1048,アレンドロン酸ナトリウム水和物,テイロック注射液５ｍｇ,１,,
3999419A2044,アレンドロン酸ナトリウム水和物,テイロック注射液１０ｍｇ,１,,
3999419G1024,アレンドロン酸ナトリウム水和物,ボナロン点滴静注バッグ９００μｇ,１,,
3999421A1037,Ｌ－アルギニン塩酸塩,アルギＵ点滴静注２０ｇ,１,,
3999422D1020,シベレスタットナトリウム水和物,注射用エラスポール１００,１,,H27.1.1から「２」に変更
3999422D1038,シベレスタットナトリウム水和物,シベレスタットＮａ点滴静注用１００ｍｇ「サンド」,３,20141212,
3999422D1046,シベレスタットナトリウム水和物,シベレスタットＮａ点滴静注用１００ｍｇ「テバ」,３,20141212,
3999422D1054,シベレスタットナトリウム水和物,シベレスタットＮａ点滴静注用１００ｍｇ「ニプロ」,３,20141212,
3999422D1062,シベレスタットナトリウム水和物,シベレスタットＮａ点滴静注用１００ｍｇ「ファイザー」,３,20141212,
3999422D1070,シベレスタットナトリウム水和物,シベレスタットナトリウム点滴静注用１００ｍｇ「Ｆ」,３,20141212,
3999423A1044,ゾレドロン酸水和物,ゾメタ点滴静注４ｍｇ／５ｍＬ,２,,
3999423A1052,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／５ｍＬ「Ｆ」,３,20140620,
3999423A1060,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／５ｍＬ「ＮＫ」,３,20140620,
3999423A1079,ゾレドロン酸水和物,ゾレドロン酸点滴静注液４ｍｇ／５ｍＬ「サワイ」,３,20140620,
3999423A1087,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／５ｍＬ「サンド」,３,20140620,
3999423A1095,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／５ｍＬ「日医工」,３,20140620,
3999423A1109,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／５ｍＬ「ニプロ」,３,20140620,
3999423A1117,ゾレドロン酸水和物,ゾレドロン酸点滴静注液４ｍｇ／５ｍＬ「ファイザー」,３,20140620,
3999423A1125,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／５ｍＬ「ヤクルト」,３,20140620,
3999423A1133,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／５ｍＬ「ＳＮ」,３,20141212,
3999423A1141,ゾレドロン酸水和物,ゾレドロン酸点滴静注液４ｍｇ／５ｍＬ「アクタビス」,３,20141212,
3999423A1150,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／５ｍＬ「テバ」,３,20141212,
3999423A2024,ゾレドロン酸水和物,ゾメタ点滴静注４ｍｇ／１００ｍＬ,２,,
3999423A3020,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／１００ｍＬバッグ「ＮＫ」,３,20140620,
3999423A3039,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／１００ｍＬバッグ「サノフィ」,３,20140620,
3999423A3047,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／１００ｍＬバッグ「トーワ」,３,20140620,
3999423A3055,ゾレドロン酸水和物,ゾレドロン酸点滴静注液４ｍｇ／１００ｍＬバッグ「日医工」,３,20140620,
3999423A3063,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／１００ｍＬバッグ「ニプロ」,３,20140620,
3999423A3071,ゾレドロン酸水和物,ゾレドロン酸点滴静注液４ｍｇ／１００ｍＬバッグ「ファイザー」,３,20140620,
3999423A3080,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／１００ｍＬバッグ「ヤクルト」,３,20140620,
3999423A3098,ゾレドロン酸水和物,ゾレドロン酸点滴静注液４ｍｇ／１００ｍＬバッグ「サワイ」,３,20141212,
3999423A3101,ゾレドロン酸水和物,ゾレドロン酸点滴静注４ｍｇ／１００ｍＬバッグ「テバ」,３,20141212,
3999424D1029,エタネルセプト（遺伝子組換え）,エンブレル皮下注用２５ｍｇ,１,,
3999424D2025,エタネルセプト（遺伝子組換え）,エンブレル皮下注用１０ｍｇ,１,,
3999424G1025,エタネルセプト（遺伝子組換え）,エンブレル皮下注２５ｍｇシリンジ０．５ｍＬ,１,,
3999424G2021,エタネルセプト（遺伝子組換え）,エンブレル皮下注５０ｍｇシリンジ１．０ｍＬ,１,,
3999424G3028,エタネルセプト（遺伝子組換え）,エンブレル皮下注５０ｍｇペン１．０ｍＬ,１,,
3999425S5028,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液１０μｇプラシリンジ,１,,
3999425S6024,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液１５μｇプラシリンジ,１,,
3999425S7020,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液２０μｇプラシリンジ,１,,
3999425S8027,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液３０μｇプラシリンジ,１,,
3999425S9023,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液４０μｇプラシリンジ,１,,
3999425U1023,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液６０μｇプラシリンジ,１,,
3999425U2020,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液１２０μｇプラシリンジ,１,,
3999425U3026,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液１８０μｇプラシリンジ,１,,
3999425U4022,ダルベポエチンアルファ（遺伝子組換え）,ネスプ注射液５μｇプラシリンジ,１,,
3999426G1024,アダリムマブ（遺伝子組換え）,ヒュミラ皮下注４０ｍｇシリンジ０．８ｍＬ,１,,
3999426G2020,アダリムマブ（遺伝子組換え）,ヒュミラ皮下注２０ｍｇシリンジ０．４ｍＬ,１,,
3999427A1026,エポエチンカッパ（遺伝子組換え）［エポエチンアルファ後続１］,エポエチンアルファＢＳ注７５０「ＪＣＲ」,★,,
3999427A2022,エポエチンカッパ（遺伝子組換え）［エポエチンアルファ後続１］,エポエチンアルファＢＳ注１５００「ＪＣＲ」,３,,
3999427A3029,エポエチンカッパ（遺伝子組換え）［エポエチンアルファ後続１］,エポエチンアルファＢＳ注３０００「ＪＣＲ」,３,,
3999427G1029,エポエチンカッパ（遺伝子組換え）［エポエチンアルファ後続１］,エポエチンアルファＢＳ注７５０シリンジ「ＪＣＲ」,３,,
3999427G2025,エポエチンカッパ（遺伝子組換え）［エポエチンアルファ後続１］,エポエチンアルファＢＳ注１５００シリンジ「ＪＣＲ」,３,,
3999427G3021,エポエチンカッパ（遺伝子組換え）［エポエチンアルファ後続１］,エポエチンアルファＢＳ注３０００シリンジ「ＪＣＲ」,３,,
3999428G1023,ヒアルロン酸ナトリウム架橋処理ポリマー・ヒアルロン酸ナトリウム架橋処理ポリマービニルスルホン架橋体,サイビスクディスポ関節注２ｍＬ,１,,
3999429D1021,アバタセプト（遺伝子組換え）,オレンシア点滴静注用２５０ｍｇ,１,,
3999429G1028,アバタセプト（遺伝子組換え）,オレンシア皮下注１２５ｍｇシリンジ１ｍＬ,１,,
3999430D1024,ロミプロスチム（遺伝子組換え）,ロミプレート皮下注２５０μｇ調製用,１,,
3999431G1025,ウステキヌマブ（遺伝子組換え）,ステラーラ皮下注４５ｍｇシリンジ,１,,
3999432G1020,エポエチン　ベータ　ペゴル（遺伝子組換え）,ミルセラ注シリンジ２５μｇ,１,,
3999432G2026,エポエチン　ベータ　ペゴル（遺伝子組換え）,ミルセラ注シリンジ５０μｇ,１,,
3999432G3022,エポエチン　ベータ　ペゴル（遺伝子組換え）,ミルセラ注シリンジ７５μｇ,１,,
3999432G4029,エポエチン　ベータ　ペゴル（遺伝子組換え）,ミルセラ注シリンジ１００μｇ,１,,
3999432G5025,エポエチン　ベータ　ペゴル（遺伝子組換え）,ミルセラ注シリンジ１５０μｇ,１,,
3999432G6021,エポエチン　ベータ　ペゴル（遺伝子組換え）,ミルセラ注シリンジ２００μｇ,１,,
3999432G7028,エポエチン　ベータ　ペゴル（遺伝子組換え）,ミルセラ注シリンジ２５０μｇ,１,,
3999433G1024,ゴリムマブ（遺伝子組換え）,シンポニー皮下注５０ｍｇシリンジ,１,,
3999434D1022,カナキヌマブ（遺伝子組換え）,イラリス皮下注用１５０ｍｇ,１,,
3999435A1020,デノスマブ（遺伝子組換え）,ランマーク皮下注１２０ｍｇ,１,,
3999435G1023,デノスマブ（遺伝子組換え）,プラリア皮下注６０ｍｇシリンジ,１,,
3999436A1025,レボカルニチン,エルカルチンＦＦ静注１０００ｍｇ,１,,
3999437G1022,セルトリズマブ　ペゴル（遺伝子組換え）,シムジア皮下注２００ｍｇシリンジ,１,,
3999438G1027,イバンドロン酸ナトリウム水和物,ボンビバ静注１ｍｇシリンジ,１,,
4191001F1037,アデニン,ロイコン錠１０ｍｇ,,,
4191400A1020,アデニン,ロイコン注射液２０ｍｇ,,,
4199400A1060,イノシン,イノシン静注４００ｍｇ「トーワ」,３,,
4211002F1044,シクロホスファミド水和物,エンドキサン錠５０ｍｇ,,,
4211002X1023,シクロホスファミド水和物,経口用エンドキサン原末１００ｍｇ,,,
4211401D1033,シクロホスファミド水和物,注射用エンドキサン１００ｍｇ,,,
4211401D2021,シクロホスファミド水和物,注射用エンドキサン５００ｍｇ,,,
4211402D1020,イホスファミド,注射用イホマイド１ｇ,１,,
4213002B1047,ブスルファン,マブリン散１％,,,
4213400A2025,ブスルファン,ブスルフェクス点滴静注用６０ｍｇ,１,,
4219002F1034,メルファラン,アルケラン錠２ｍｇ,１,,
4219003M1054,エストラムスチンリン酸エステルナトリウム水和物,エストラサイトカプセル１５６．７ｍｇ,２,,
4219003M1062,エストラムスチンリン酸エステルナトリウム水和物,ビアセチルカプセル１５６．７ｍｇ,３,,
4219003M1070,エストラムスチンリン酸エステルナトリウム水和物,プロエスタカプセル１５６．７ｍｇ,３,,
4219004M1024,テモゾロミド,テモダールカプセル２０ｍｇ,１,,
4219004M2020,テモゾロミド,テモダールカプセル１００ｍｇ,１,,
4219400D1029,ニムスチン塩酸塩,ニドラン注射用２５ｍｇ,１,,
4219400D2025,ニムスチン塩酸塩,ニドラン注射用５０ｍｇ,１,,
4219401D1031,ダカルバジン,ダカルバジン注用１００,１,,
4219402D1028,ラニムスチン,注射用サイメリン５０ｍｇ,１,,
4219402D2024,ラニムスチン,注射用サイメリン１００ｍｇ,１,,
4219403F1023,メルファラン,アルケラン静注用５０ｍｇ,１,,
4219404D1027,テモゾロミド,テモダール点滴静注用１００ｍｇ,１,,
4219405D1021,ベンダムスチン塩酸塩,トレアキシン点滴静注用１００ｍｇ,１,,
4219406D1026,ストレプトゾシン,ザノサー点滴静注用１ｇ,１,20141125,
4219700X1020,カルムスチン,ギリアデル脳内留置用剤７．７ｍｇ,１,,
4221001B1052,メルカプトプリン水和物,ロイケリン散１０％,,,
4222001F1027,メトトレキサート,メソトレキセート錠２．５ｍｇ,,,
4222400A1036,メトトレキサート,メソトレキセート点滴静注液２００ｍｇ,１,,
4222400A2024,メトトレキサート,メソトレキセート点滴静注液１０００ｍｇ,１,,
4222400D1024,メトトレキサート,注射用メソトレキセート５ｍｇ,１,,
4222400D2020,メトトレキサート,注射用メソトレキセート５０ｍｇ,１,,
4223002D1052,テガフール,ステロジン顆粒５０％,３,,
4223002D2083,テガフール,フトラフール腸溶顆粒５０％,２,,
4223002M1010,テガフール,テガフール２００ｍｇカプセル,３,,
4223002M1419,テガフール,フトラフールカプセル２００ｍｇ,２,,
4223003F1031,フルオロウラシル,５－ＦＵ錠５０協和,２,,
4223003F1066,フルオロウラシル,ルナポン錠５０,３,,
4223003F2038,フルオロウラシル,５－ＦＵ錠１００協和,２,,
4223003F2062,フルオロウラシル,ルナポン錠１００,３,,
4223003R1011,フルオロウラシル,フルオロウラシル５０ｍｇ１ｇシロップ用,３,,
4223004M1027,ドキシフルリジン,フルツロンカプセル１００,１,,
4223004M2023,ドキシフルリジン,フルツロンカプセル２００,１,,
4223005F1022,カペシタビン,ゼローダ錠３００,１,,
4223400A1106,テガフール,フトラフール注４００ｍｇ,２,,
4223400A1114,テガフール,イカルス静注４００ｍｇ,３,,
4223400D1021,テガフール,注射用フトラフール４００,２,,
4223401A3022,フルオロウラシル,５－ＦＵ注１０００ｍｇ,１,,
4223401A4029,フルオロウラシル,５－ＦＵ注２５０ｍｇ,１,,
4223700J2190,テガフール,フトラフール坐剤７５０ｍｇ,１,,
4223701M1047,フルオロウラシル,５－ＦＵ軟膏５％協和,１,,
4224001M1020,シタラビン　オクホスファート水和物,スタラシドカプセル５０,１,,
4224001M2027,シタラビン　オクホスファート水和物,スタラシドカプセル１００,１,,
4224401A1035,シタラビン,キロサイド注２０ｍｇ,１,,
4224401A2031,シタラビン,キロサイド注４０ｍｇ,１,,
4224401A3038,シタラビン,キロサイド注６０ｍｇ,１,,
4224401A4034,シタラビン,キロサイド注１００ｍｇ,１,,
4224401A5030,シタラビン,キロサイド注２００ｍｇ,１,,
4224401A6037,シタラビン,キロサイドＮ注４００ｍｇ,２,,
4224401A7025,シタラビン,キロサイドＮ注１ｇ,２,,
4224401A7033,シタラビン,シタラビン点滴静注液１ｇ「テバ」,３,,
4224401A8021,シタラビン,シタラビン点滴静注液４００ｍｇ「テバ」,３,,
4224402D1036,エノシタビン,サンラビン点滴静注用１５０ｍｇ,１,,
4224402D2032,エノシタビン,サンラビン点滴静注用２００ｍｇ,１,,
4224402D3039,エノシタビン,サンラビン点滴静注用２５０ｍｇ,１,,
4224403A1026,ゲムシタビン塩酸塩,ゲムシタビン点滴静注液２００ｍｇ／５ｍＬ「サンド」,３,,
4224403A2022,ゲムシタビン塩酸塩,ゲムシタビン点滴静注液１ｇ／２５ｍＬ「サンド」,３,,
4224403D1030,ゲムシタビン塩酸塩,ジェムザール注射用２００ｍｇ,２,,
4224403D1049,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「サンド」,３,,
4224403D1057,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「タイホウ」,３,,
4224403D1065,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「ヤクルト」,３,,
4224403D1073,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「ＮＫ」,３,,
4224403D1081,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「ホスピーラ」,３,,
4224403D1103,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「サワイ」,３,,
4224403D1111,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「ＴＹＫ」,３,,
4224403D1120,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「ファイザー」,３,,
4224403D1138,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用２００ｍｇ「日医工」,３,20141212,
4224403D2037,ゲムシタビン塩酸塩,ジェムザール注射用１ｇ,２,,
4224403D2045,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用１ｇ「サンド」,３,,
4224403D2053,ゲムシタビン塩酸塩,ゲムシタビン点滴静注用１ｇ「タイホウ」,３,,
